SLICE/LSR input u_lpddr4_core.lscc_lpddr4_mc_inst.IowAtbLhBeCjh4.Ibbxf9DysDfsnHwn0Cyv9xmEIbv8u.IzcnL371Bijv4A5gxetJe.I9KlI77a.IwakwAi5mrEqeBjf3Jnh5.Inx0chE2cwnECr.SLICE_1718 is an asynchronous pin
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[15].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[24].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[24].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[24].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[24].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[24].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[24].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[29].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[29].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[29].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[29].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[29].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[29].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[21].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[21].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[21].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[21].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[21].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[21].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[18].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[18].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[18].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[18].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[18].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[18].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[10].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[10].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[10].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[10].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[10].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[10].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[13].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[13].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[13].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[13].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[13].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[13].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[2].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[2].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[2].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[2].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[19].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[19].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[19].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[19].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[19].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[19].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[8].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[8].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[8].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[8].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[8].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[8].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[11].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[11].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[11].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[11].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[11].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[11].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[31].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[31].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[31].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[31].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[31].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[31].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[0].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[0].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[0].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[0].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[17].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[17].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[17].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[17].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[17].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[17].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[6].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[6].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[6].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[6].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[1].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[1].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[1].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[1].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[12].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[12].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[12].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[12].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[12].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[12].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[9].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[9].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[9].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[9].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[9].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[9].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[20].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[20].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[20].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[20].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[20].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[20].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[14].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[14].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[14].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[14].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/DIRECTION_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[14].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/MOVE_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[14].u_DQ_BB_IOL has no outgoing device arc
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[7].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[7].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[7].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[7].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSRIN input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[3].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[3].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[3].u_DQ_BB_IOL is an asynchronous pin
IOLOGIC_CORE/LOAD_N_LPDDR4_WT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DQ[3].u_DQ_BB_IOL is an asynchronous pin
     ** u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.IeD84pJ6Fex5t7l7AuCb0hdJdfHxcs.SLICE_9233/Q0 is driving a pin on an incomplete path
IOLOGIC_CORE/LSROUT input u_lpddr4_core.lscc_lpddr4_mc_inst.IFku9Cnj.Ic8mDqk3gnFx3.Ii17KHcunLBKBgh2J.DMI[1].u_DQ_BB_IOL is an asynchronous pin
